組成品號,版本,製程,材料(半成品),版本,用量,係數,lastUpdatedDate,順序
BLLN0046BNTA,D,PDSA,PUCU4N0A1 M0196,,1,1,2018/3/1 12:00:00,4
BLLN0046BNTA,D,PDPS,,,1,1,2018/3/1 12:00:00,5
BLLN0046BNTA,D,PDBA,PHWB3065-2M0004,,1,1,2018/3/1 12:00:00,6
BLLN0046BNTA,D,PDEE,,,1,1,2018/3/1 12:00:00,7
BLLN0046BNTA,D,PDDC,,,1,1,2018/3/1 12:00:00,8
BLLN0046BNTA,D,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,9
BLLN0046BNTA,D,PDBB,PHWB3065-1M0004,,1,1,2018/3/1 12:00:00,10
BLLN0046BNTA,D,PDEG,,,1,1,2018/3/1 12:00:00,11
BLLN0046BNTA,D,PDDD,,,1,1,2018/3/1 12:00:00,12
BLLN0046BNTA,D,PDAL,,,1,1,2018/3/1 12:00:00,13
BLLN0046BNTA,D,PDPW,PKPGC,,1,1,2018/3/1 12:00:00,14
BLLN0046BNTA,D,PDTH,,,1,1,2018/3/1 12:00:00,15
BLLN0046BNTA,D,PDIS,,,1,1,2018/3/1 12:00:00,16
BLLN0046BNTA,D,PDMN,,,1,1,2018/3/1 12:00:00,17
BLLN0046BNTA,D,PDH2,,,1,1,2018/3/1 12:00:00,18
BLLN0046BNTA,D,PDQP,PKPGC,,1,1,2018/3/1 12:00:00,19
BLLN0046BNTA,D,BXC4,,,1,1,2018/3/1 12:00:00,20
BLLN0046BNTA,D,PDGC,,,1,1,2018/3/1 12:00:00,21
BLLN0046BNTA,D,PDGA,,,1,1,2018/3/1 12:00:00,22
BLLN0046BNTA,D,PDIT,,,1,1,2018/3/1 12:00:00,23
BLLN0046BNTA,D,PDQZ,,,1,1,2018/3/1 12:00:00,24
BLLN0046BNTA,D,BXBB,,,1,1,2018/3/1 12:00:00,25
BLLN0046BNTA,D,BXBN,,,1,1,2018/3/1 12:00:00,26
BLLN0046BNTA,D,BXBM,,,1,1,2018/3/1 12:00:00,27
BLLN0046BNTA,D,PDAN,,,1,1,2018/3/1 12:00:00,28
BLLN0046BNTA,D,PDH1,,,1,1,2018/3/1 12:00:00,29
BLLN0046BNTA,D,BTA1,,,1,1,2018/3/1 12:00:00,30
BLLN0046BNTA,D,BXAL,,,1,1,2018/3/1 12:00:00,31
BLLN0046BNTA,D,BXBH,,,1,1,2018/3/1 12:00:00,32
BLLN0046BNTA,D,BXAE,,,1,1,2018/3/1 12:00:00,33
BLLN0046BNTA,D,BXBX,,,1,1,2018/3/1 12:00:00,34
BLLN0046BNTA,D,BXBY,,,1,1,2018/3/1 12:00:00,35
BLLN0046BNTA,D,BXC1,,,1,1,2018/3/1 12:00:00,36
BLLN0046BNTA,D,BXC2,,,1,1,2018/3/1 12:00:00,37
BLLN0046BNTA,D,BXA8,,,1,1,2018/3/1 12:00:00,38
BLLN0046BNTA,D,BXCB-A,,,1,1,2018/3/1 12:00:00,39
BLLN0046BNTA,D,BXBW-A,,,1,1,2018/3/1 12:00:00,40
BLLN0046BNTA,D,BQAG,,,1,1,2018/3/1 12:00:00,41
BLLN0102G-HBS2,D,PDCA,ALLN0102C-HBS2,,1,1,2018/3/1 12:00:00,1
BLLN0102G-HBS2,D,PDSA,PUCU4N0A1 M0196,,1,1,2018/3/1 12:00:00,3
BLLN0102G-HBS2,D,PDPS,,,1,1,2018/3/1 12:00:00,4
BLLN0102G-HBS2,D,PDBA,PHWB3065-1M0004,,1,1,2018/3/1 12:00:00,5
BLLN0102G-HBS2,D,PDEE,,,1,1,2018/3/1 12:00:00,6
