作業方法,製程,製程名稱,lastUpdatedDate,順序
PDH1,PDH1,PDH1,2018/3/1 12:00:00,31
BTB2,BTB2,BTB2,2018/3/1 12:00:00,32
BTA2,BTA2,BTA2,2018/3/1 12:00:00,33
BTBA,BTBA,BTBA,2018/3/1 12:00:00,34
BXC6,BXC6,BXC6,2018/3/1 12:00:00,35
BXAL,BXAL,BXAL,2018/3/1 12:00:00,36
BXBH-A,BXBH-A,BXBH-A,2018/3/1 12:00:00,37
BXAE,BXAE,BXAE,2018/3/1 12:00:00,38
BXBW,BXBW,BXBW,2018/3/1 12:00:00,39
BXC3,BXC3,BXC3,2018/3/1 12:00:00,40
PDK3,PDK3,PDK3,2018/3/1 12:00:00,41
PDPG,PDPG,PDPG,2018/3/1 12:00:00,14
PDAB,PDAB,PDAB,2018/3/1 12:00:00,15
PDTG,PDTG,PDTG,2018/3/1 12:00:00,16
PDH2,PDH2,PDH2,2018/3/1 12:00:00,17
PDIS,PDIS,PDIS,2018/3/1 12:00:00,18
PDMA,PDMA,PDMA,2018/3/1 12:00:00,20
PDMB,PDMB,PDMB,2018/3/1 12:00:00,21
PDEA,PDEA,PDEA,2018/3/1 12:00:00,23
PDDT,PDDT,PDDT,2018/3/1 12:00:00,24
PDGA,PDGA,PDGA,2018/3/1 12:00:00,26
PDPX,PDPX,PDPX,2018/3/1 12:00:00,27
PDIT,PDIT,PDIT,2018/3/1 12:00:00,28
BTA1,BTA1,BTA1,2018/3/1 12:00:00,29
BGI2,BGI2,BGI2,2018/3/1 12:00:00,30
BGLA,BGLA,BGLA,2018/3/1 12:00:00,31
BGJ5,BGJ5,BGJ5,2018/3/1 12:00:00,32
BGK1,BGK1,BGK1,2018/3/1 12:00:00,33
BXAE,BXAE,BXAE,2018/3/1 12:00:00,34
BQAG,BQAG,BQAG,2018/3/1 12:00:00,35
PDPS,PDPS,PDPS,2018/3/1 12:00:00,3
PDPA,PDPA,PDPA,2018/3/1 12:00:00,7
PDAL,PDAL,PDAL,2018/3/1 12:00:00,8
PDQI,PDQI,PDQI,2018/3/1 12:00:00,9
PDQZ,PDQZ,PDQZ,2018/3/1 12:00:00,12
BXBM,BXBM,BXBM,2018/3/1 12:00:00,14
PDAN,PDAN,PDAN,2018/3/1 12:00:00,15
PDH1,PDH1,PDH1,2018/3/1 12:00:00,16
PDGC,PDGC,PDGC,2018/3/1 12:00:00,17
BXAL,BXAL,BXAL,2018/3/1 12:00:00,19
BXBH,BXBH,BXBH,2018/3/1 12:00:00,20
BXB9,BXB9,BXB9,2018/3/1 12:00:00,21
C068,C068,C068,2018/3/1 12:00:00,22
C0C0-A,C0C0-A,C0C0-A,2018/3/1 12:00:00,23
C0EI,C0EI,C0EI,2018/3/1 12:00:00,24
BXAE,BXAE,BXAE,2018/3/1 12:00:00,25
BXBX,BXBX,BXBX,2018/3/1 12:00:00,26
BXBY,BXBY,BXBY,2018/3/1 12:00:00,27
BXC1,BXC1,BXC1,2018/3/1 12:00:00,28
BXC2,BXC2,BXC2,2018/3/1 12:00:00,29
BXA8,BXA8,BXA8,2018/3/1 12:00:00,30
BQA1,BQA1,BQA1,2018/3/1 12:00:00,31
PDK3,PDK3,PDK3,2018/3/1 12:00:00,32
BQAG,BQAG,BQAG,2018/3/1 12:00:00,33
PDQP,PDQP,PDQP,2018/3/1 12:00:00,12
PDIT,PDIT,PDIT,2018/3/1 12:00:00,13
PDQZ,PDQZ,PDQZ,2018/3/1 12:00:00,14
BXBB,BXBB,BXBB,2018/3/1 12:00:00,15
BXBN,BXBN,BXBN,2018/3/1 12:00:00,17
PDAN,PDAN,PDAN,2018/3/1 12:00:00,18
PDH1,PDH1,PDH1,2018/3/1 12:00:00,19
BTA1,BTA1,BTA1,2018/3/1 12:00:00,21
BXAL,BXAL,BXAL,2018/3/1 12:00:00,22
BXB9,BXB9,BXB9,2018/3/1 12:00:00,23
BXBH,BXBH,BXBH,2018/3/1 12:00:00,24
C068,C068,C068,2018/3/1 12:00:00,25
C0C0-A,C0C0-A,C0C0-A,2018/3/1 12:00:00,26
C0EI,C0EI,C0EI,2018/3/1 12:00:00,27
BXBV-A,BXBV-A,BXBV-A,2018/3/1 12:00:00,28
BXAE,BXAE,BXAE,2018/3/1 12:00:00,29
BXBX,BXBX,BXBX,2018/3/1 12:00:00,30
BXBY,BXBY,BXBY,2018/3/1 12:00:00,31
BXC1,BXC1,BXC1,2018/3/1 12:00:00,32
BXC2,BXC2,BXC2,2018/3/1 12:00:00,33
BXA8,BXA8,BXA8,2018/3/1 12:00:00,34
BXBF,BXBF,BXBF,2018/3/1 12:00:00,16
BXBH,BXBH,BXBH,2018/3/1 12:00:00,23
BXB9,BXB9,BXB9,2018/3/1 12:00:00,24
BXAE,BXAE,BXAE,2018/3/1 12:00:00,28
BXBX,BXBX,BXBX,2018/3/1 12:00:00,29
BXBY,BXBY,BXBY,2018/3/1 12:00:00,30
BXC1,BXC1,BXC1,2018/3/1 12:00:00,31
BXC2,BXC2,BXC2,2018/3/1 12:00:00,32
BXA8,BXA8,BXA8,2018/3/1 12:00:00,33
BQAG,BQAG,BQAG,2018/3/1 12:00:00,34
PDQI,PDQI,PDQI,2018/3/1 12:00:00,10
PDQZ,PDQZ,PDQZ,2018/3/1 12:00:00,13
BXBB-A,BXBB-A,BXBB-A,2018/3/1 12:00:00,14
PDAN,PDAN,PDAN,2018/3/1 12:00:00,16
PDH1,PDH1,PDH1,2018/3/1 12:00:00,17
C08G,C08G,C08G,2018/3/1 12:00:00,19
BXB9,BXB9,BXB9,2018/3/1 12:00:00,20
C0C0-A,C0C0-A,C0C0-A,2018/3/1 12:00:00,22
C0EI,C0EI,C0EI,2018/3/1 12:00:00,23
BXBV-A,BXBV-A,BXBV-A,2018/3/1 12:00:00,24
BXCK,BXCK,BXCK,2018/3/1 12:00:00,30
PDGC,PDGC,PDGC,2018/3/1 12:00:00,31
BQA1,BQA1,BQA1,2018/3/1 12:00:00,32
PDHD,PDHD,PDHD,2018/3/1 12:00:00,33
BXCC,BXCC,BXCC,2018/3/1 12:00:00,34
PDHF,PDHF,PDHF,2018/3/1 12:00:00,35
BXCD,BXCD,BXCD,2018/3/1 12:00:00,36
PDK3,PDK3,PDK3,2018/3/1 12:00:00,37
BQAG,BQAG,BQAG,2018/3/1 12:00:00,38
BXBB-A,BXBB-A,BXBB-A,2018/3/1 12:00:00,15
BTA1,BTA1,BTA1,2018/3/1 12:00:00,20
BXAL,BXAL,BXAL,2018/3/1 12:00:00,21
BXB9,BXB9,BXB9,2018/3/1 12:00:00,22
C068,C068,C068,2018/3/1 12:00:00,24
C0C0-A,C0C0-A,C0C0-A,2018/3/1 12:00:00,25
C0EI,C0EI,C0EI,2018/3/1 12:00:00,26
BXBV-A,BXBV-A,BXBV-A,2018/3/1 12:00:00,27
